n_traces,trace_exact,set_exact,jaccard,dfg_P,dfg_R,dfg_F1,dfg_P_w,dfg_R_w,dfg_F1_w,n_gold_edges,n_pred_edges,method,dataset,n_msgs
98,0.3979591836734694,0.46938775510204084,0.8590540978296081,0.8547008547008547,0.9009009009009009,0.8771929824561403,0.8466666666666667,0.8839907192575406,0.8649262202043134,111,117,LLMs-EEM (DS-R),AmazonHelp,301
102,0.46078431372549017,0.5196078431372549,0.8933407551054611,0.9074074074074074,0.9158878504672897,0.9116279069767442,0.9008547008547009,0.9393939393939394,0.9197207678883073,107,108,LLMs-EEM (DS-R),AppleSupport,301
108,0.4722222222222222,0.5092592592592593,0.8581107549857551,0.8342245989304813,0.9017341040462428,0.8666666666666667,0.8423153692614771,0.8773388773388774,0.8594704684317719,173,187,LLMs-EEM (DS-R),SpotifyCares,301
308,0.4448051948051948,0.5,0.8700779874887018,0.8606965174129353,0.9033942558746736,0.8815286624203821,0.8665364583333334,0.9035980991174474,0.8846792954469923,383,402,LLMs-EEM (DS-R),OVERALL,903
98,0.4387755102040816,0.5,0.8747489471979268,0.8695652173913043,0.9009009009009009,0.8849557522123894,0.8968824940047961,0.8677494199535963,0.8820754716981132,111,115,LLMs-EEM (Gemini),AmazonHelp,301
102,0.38235294117647056,0.47058823529411764,0.8760528959058371,0.9215686274509803,0.8785046728971962,0.8995215311004785,0.8956521739130435,0.9180035650623886,0.9066901408450704,107,102,LLMs-EEM (Gemini),AppleSupport,301
108,0.49074074074074076,0.5185185185185185,0.855064187355854,0.8238636363636364,0.838150289017341,0.830945558739255,0.8458333333333333,0.8440748440748441,0.8449531737773154,173,176,LLMs-EEM (Gemini),SpotifyCares,301
308,0.4383116883116883,0.4967532467532468,0.8682783261111182,0.8597402597402597,0.8642297650130548,0.8619791666666666,0.8797554347826086,0.8791581805838425,0.8794567062818335,383,385,LLMs-EEM (Gemini),OVERALL,903
98,0.29591836734693877,0.3673469387755102,0.8170270489148038,0.8245614035087719,0.8468468468468469,0.8355555555555555,0.8209606986899564,0.8723897911832946,0.8458942632170978,111,114,Zero-shot (DS-R),AmazonHelp,301
102,0.18627450980392157,0.2647058823529412,0.8040520753756047,0.8018867924528302,0.794392523364486,0.7981220657276995,0.7761437908496732,0.8512544802867383,0.811965811965812,107,106,Zero-shot (DS-R),AppleSupport,301
108,0.14814814814814814,0.17592592592592593,0.697307722083049,0.7028571428571428,0.7109826589595376,0.7068965517241379,0.5971731448763251,0.7115789473684211,0.6493756003842459,173,175,Zero-shot (DS-R),SpotifyCares,301
308,0.2077922077922078,0.2662337662337662,0.7707506378796486,0.7615384615384615,0.7754569190600522,0.7684346701164294,0.7273838630806846,0.8128415300546448,0.767741935483871,383,390,Zero-shot (DS-R),OVERALL,903
98,0.24489795918367346,0.30612244897959184,0.7802518626498217,0.8285714285714286,0.7837837837837838,0.8055555555555555,0.7745535714285714,0.8051044083526682,0.7895335608646188,111,105,Zero-shot (Gemini),AmazonHelp,301
102,0.16666666666666666,0.23529411764705882,0.747906722906723,0.7981651376146789,0.8130841121495327,0.8055555555555556,0.7671232876712328,0.7985739750445633,0.7825327510917031,107,109,Zero-shot (Gemini),AppleSupport,301
108,0.18518518518518517,0.18518518518518517,0.6989812913424025,0.7005649717514124,0.7167630057803468,0.7085714285714285,0.6010452961672473,0.7172557172557172,0.6540284360189573,173,177,Zero-shot (Gemini),SpotifyCares,301
308,0.19805194805194806,0.24025974025974026,0.7410426874712589,0.7636363636363637,0.7676240208877284,0.765625,0.7104607721046077,0.7746096401900883,0.7411497239363428,383,385,Zero-shot (Gemini),OVERALL,903
